Epoch, Error Value, Validation Rate
0, 16341.883693156, 8.92857142857143, 49
1, 15807.8643650399, 35.7142857142857, 58
2, 15676.625087432, 39.2857142857143, 48
3, 15471.5652630337, 33.9285714285714, 50
4, 14871.6129880391, 60.7142857142857, 47
5, 14540.9095037268, 46.4285714285714, 43
6, 13715.1810889599, 64.2857142857143, 42
7, 13554.5264471877, 66.0714285714286, 41
8, 12577.910786954, 44.6428571428571, 42
9, 12736.2744415111, 41.0714285714286, 40
10, 12852.7866820332, 55.3571428571429, 40
11, 12157.1651986636, 26.7857142857143, 32
12, 11768.8614636988, 44.6428571428571, 47
13, 11505.4819080032, 51.7857142857143, 37
14, 11281.4342798255, 39.2857142857143, 39
15, 11468.1368908325, 46.4285714285714, 24
16, 11390.5554176905, 58.9285714285714, 30
17, 12132.5066473978, 39.2857142857143, 41
18, 11777.2259738274, 55.3571428571429, 22
19, 10744.4164082637, 33.9285714285714, 20
20, 10485.2777510702, 66.0714285714286, 16
21, 11184.3251575228, 98.2142857142857, 18
22, 12597.1983544013, 64.2857142857143, 7
23, 13511.3564028607, 46.4285714285714, 14
24, 12378.5702207973, 35.7142857142857, 9
25, 11820.8470353533, 98.2142857142857, 10
26, 11954.1599932202, 98.2142857142857, 5
27, 12892.348059306, 71.4285714285714, 12
28, 13679.4287728899, 80.3571428571429, 9
29, 12880.9243030325, 73.2142857142857, 7
30, 12407.1068755951, 92.8571428571429, 8
31, 12491.2211236099, 92.8571428571429, 8
32, 13116.7142485479, 92.8571428571429, 8
33, 13057.8546456418, 78.5714285714286, 8
34, 12906.4530775317, 94.6428571428571, 9
35, 13021.0259458903, 64.2857142857143, 9
36, 13114.7669149563, 91.0714285714286, 9
37, 13357.1054380937, 92.8571428571429, 8
38, 13195.3308539931, 44.6428571428571, 10
39, 13140.3062062808, 89.2857142857143, 7
40, 12983.051890943, 96.4285714285714, 6
